id,tweet
1.23309671033283e+18,all new samsung s20 and s20 ultra is now open for preorder at dialog sri only network to URL
1.23305933251169e+18,hi sorry for the inconvenience caused kindly do dm us you connection details to check with the same
1.23289118463858e+18,hi yes it is possible this can be done via an outlet of ours where both parties must be present URL
1.23273872094579e+18,we are extremely sorry for the inconvenience caused appreciate you may contact us via in order URL
1.23271668202994e+18,espn hd channel channel line up concern suggestion URL
1.23270699095206e+18,sri lanka vs west indies match matches URL
1.23270472302905e+18,hi appreciate if you could dm your exact concern for better
1.2327005932543e+18,ten cricket sony espn hd channels
1.23269991326124e+18,hi sandun thank you for your feedback we will forward this to the relevant division to look into
1.23269850052738e+18,hi shehan exact match
1.2326772136963e+18,hi raaziya extremely sorry for the inconvenience caused please do share us your relevant connection URL
1.23235874357429e+18,hi supun appreciate if you could share your connection number and location details so that we can URL
1.23227744517016e+18,hi menda connection number
1.23224209128527e+18,connection by requesting on the bill you have received is for the period of jan URL
1.23222372985545e+18,hi we are sorry for any inconvenience which has caused to you pls dm us your connection details URL
1.23220847682018e+18,hi we do understand that you have raised this signal issue time to time and it would be highly URL
1.23206898026698e+18,kindly share a screenshot of the e bill received along with a reachable contact number of yours URL
1.23190971468817e+18,hi kaveen suggestion complaint close contact URL
1.23183640102246e+18,check assist connection number dm
1.23181798041529e+18,hi we do offer esim and the available devices would be as iphone iphone pro iphone URL
1.23146610425566e+18,hi ruchaka kindly dm us your connection number to check and assist you on the same
1.23145206667514e+18,our team will get in touch with you regarding this issue and sort out this asap
1.23144225628617e+18,you are most welcome
1.23128769469891e+18,the same kindly bear with us and do apologize if any inconvenience caused with the same
1.23128769383071e+18,data roaming block option by dialing roaming data roaming service URL
1.23128769257236e+18,hi mohamed kindly note that as for the screen shots you have shared you have been charged for data URL
1.23126738761546e+18,please send in your connection number nic number time and date of the call via dm to check and assist on the same
1.23118966744325e+18,your most welcome
1.23118868762459e+18,hi amila thank you for getting in touch with us with regards to this we will forward this to the URL
1.23110677381113e+18,thanks for the update
1.23110247755616e+18,hope youre being handled by an agent now and the refund will be given as discussed
1.23109269412398e+18,connection activate
1.23108374240556e+18,hi nayaken please accept our apologies for any inconvenience caused appreciate if you could let us URL
1.23106845681827e+18,as discussed hope youll visit the dialog outlet today
1.23081121181978e+18,hi im_muba yes you can collect
1.23080816054755e+18,hi im_muba we have contacted you and arrange you the refund
1.23080605038062e+18,hi im_muba in order to assist you please dm us your reachable contact number
