id,tweet,sent_score
1.23309671033283E+018,all new samsung s20 and s20 ultra is now open for preorder at dialog sri only network to URL,1
1.23305933251169E+018,hi sorry for the inconvenience caused kindly do dm us you connection details to check with the same,1
1.23289118463858E+018,hi yes it is possible this can be done via an outlet of ours where both parties must be present URL,0
1.23273872094579E+018,we are extremely sorry for the inconvenience caused appreciate you may contact us via in order URL,-1
1.23271668202994E+018,espn hd channel channel line up concern suggestion URL,0
1.23270699095206E+018,sri lanka vs west indies match matches URL,0
1.23270472302905E+018,hi appreciate if you could dm your exact concern for better,1
1.2327005932543E+018,ten cricket sony espn hd channels,0
1.23269991326124E+018,hi sandun thank you for your feedback we will forward this to the relevant division to look into,1
1.23269850052738E+018,hi shehan exact match,1
1.2326772136963E+018,hi raaziya extremely sorry for the inconvenience caused please do share us your relevant connection URL,-1
1.23235874357429E+018,hi supun appreciate if you could share your connection number and location details so that we can URL,0
1.23227744517016E+018,hi menda connection number,0
1.23224209128527E+018,connection by requesting on the bill you have received is for the period of jan URL,0
1.23222372985545E+018,hi we are sorry for any inconvenience which has caused to you pls dm us your connection details URL,-1
1.23220847682018E+018,hi we do understand that you have raised this signal issue time to time and it would be highly URL,1
1.23206898026698E+018,kindly share a screenshot of the e bill received along with a reachable contact number of yours URL,1
1.23190971468817E+018,hi kaveen suggestion complaint close contact URL,-1
1.23183640102246E+018,check assist connection number dm,0
1.23181798041529E+018,hi we do offer esim and the available devices would be as iphone iphone pro iphone URL,1
1.23146610425566E+018,hi ruchaka kindly dm us your connection number to check and assist you on the same,1
1.23145206667514E+018,our team will get in touch with you regarding this issue and sort out this asap,0
1.23144225628617E+018,you are most welcome,1
1.23128769469891E+018,the same kindly bear with us and do apologize if any inconvenience caused with the same,1
1.23128769383071E+018,data roaming block option by dialing roaming data roaming service URL,0
1.23128769257236E+018,hi mohamed kindly note that as for the screen shots you have shared you have been charged for data URL,1
1.23126738761546E+018,please send in your connection number nic number time and date of the call via dm to check and assist on the same,0
1.23118966744325E+018,your most welcome,1
1.23118868762459E+018,hi amila thank you for getting in touch with us with regards to this we will forward this to the URL,0
1.23110677381113E+018,thanks for the update,1
1.23110247755616E+018,hope youre being handled by an agent now and the refund will be given as discussed,0
1.23109269412398E+018,connection activate,0
1.23108374240556E+018,hi nayaken please accept our apologies for any inconvenience caused appreciate if you could let us URL,0
1.23106845681827E+018,as discussed hope youll visit the dialog outlet today,0
1.23081121181978E+018,hi im_muba yes you can collect,0
1.23080816054755E+018,hi im_muba we have contacted you and arrange you the refund,0
1.23080605038062E+018,hi im_muba in order to assist you please dm us your reachable contact number,0
1.23074525202304E+018,hi im_muba we extremely sorry for the inconvenience caused we checked with the relevant team your URL,-1
1.2307444776958E+018,weve informed the relevant supervisor and youll be receiving an email via serviceUSER_MENTION URL,1
1.23068430642883E+018,hi we are sorry if you had to face any difficulties could please let me know how i can assist you,-1
1.23056360656921E+018,hi please be informed that there is currently a system maintenance occuring which might be causing the URL,0
1.23051254312014E+018,hi azaff the reason for the channel being blocked during the match time is due to the URL,-1
1.23050292580764E+018,hi zalmi kindly share your connection number via dm to check and assist on the same,1
1.23046110031293E+018,hi please accept our apologies and were checking on your concern which is related to payment one of URL,0
1.23035852730844E+018,you are most welcome,1
1.23035480640289E+018,thank you so much for sharing the details further to the above our relevant team will be checking URL,1
1.23034944265986E+018,kindly dm us the below details for us to check and assist accordingly.1 the referred connection URL,1
1.23033956531706E+018,hi mohammed sabry apologies for the inconvenience caused appreciate if you could please let us know URL,0
1.23020486313452E+018,hi could you dm the connection number2 current location address device modelin order for us URL,0
1.23019664497048E+018,hi sumran were sorry for the inconvenience could you let us know whether you are referring to home URL,-1
1.23015586571556E+018,have you been informed about the previous sr please kindly share a image of the router along with a URL,1
1.2301475358404E+018,are you referring to the same connection number which you have dmd us a month ago,0
1.23013071276394E+018,hi seni please accept our humble apologies for the inconvenience caused appreciate if you could URL,-1
1.23012668530514E+018,hi harshana appreciate if you could share a screenshot of the mentioned prompt via dm so that we can URL,0
1.2301108097512E+018,hi ayesha please do accept our sincere apologies if any inconvenience caused with our services URL,1
1.23005644184903E+018,hi sadaham apologies for the inconvenience caused appreciate if you could dm the relevant URL,1
1.22999269989539E+018,a computer unlike any computer apple ipad now available at dialog monthly installment plans at URL,1
1.22976073702069E+018,among the first to own a samsung s20 ultra s20 and s20 from sri no.1 network dialog.available URL,1
1.22975061259155E+018,we have replied to your dm now EMO_POS,0
1.22974705128771E+018,hi there pls dm us your connection details for us to check on the possibility let you know,0
1.22972631328561E+018,hi azeera appreciate if you could dm us the relevant connection number to check on the,1
1.22968114959893E+018,hi farzan are you browsing internet with wifi or mobile network,0
1.22963591070421E+018,thank you for the details provided could you please check your dms,0
1.22962924925194E+018,hope your concern is sorted now EMO_POS,0
1.2296200109199E+018,hi appreciate if you can share your connection details via dm to check on this concern,0
1.22945100625947E+018,hi we are sorry if any inconvenience was caused kindly note that as mentioned earlier the deposit URL,1
1.22943406385075E+018,hi note that your refund request for the mobile connection has been sent to the relevant team and will URL,1
1.2293733491235E+018,hi dm connection number location details contact number,0
1.22937117376866E+018,hi chinthaka mobile broadband home broadband,0
1.22934993294507E+018,hi apologies for the inconvenience caused kindly note that we have escalated this to the relevant URL,1
1.22920454253912E+018,hi sorry specific method my dialog app usage monitor URL,-1
1.22908426266787E+018,hi if you have faced any inconvenience upon making payments via our payment gateway kindly accept our URL,1
1.22890173404884E+018,you are most welcome,1
1.22888236880466E+018,well.please accept our sincere apologies for the inconvenience occurred,1
1.22888236789024E+018,there is a network interference going on currently in few areas including yours.this interference URL,-1
1.22888158355126E+018,hi please check dm,0
1.22862458523244E+018,is a bill view machine you can punch the connection number and check the bill balance,0
1.22849421725471E+018,hi check URL,0
1.22849358844889E+018,hi check connection details dm URL,0
1.22839405598761E+018,please note that we have escalated this to the relevant team they will check and make it correct EMO_POS,1
1.22838502599503E+018,hi shuja we are sorry we are unable to understand your exact concern.appreciate if you can clearly URL,-1
1.22838243452314E+018,hi kindly share your connection number and nic via dm to check and assist you on the,1
1.22834992192282E+018,connection number dm,0
1.22832998809047E+018,hi we have informed the relevant team with regards to the same it will be rectified by our team as soon as possible,1
1.22832360144887E+018,hi noted please forward the connection number and nic along with a contact number of yours via dm,0
1.22832171643224E+018,hi kindly share your relevant connection number and nic to inform the relevant team with regards to the same,1
1.22830848146536E+018,hi jalitha appreciate if you could let us know whether you are referring to mobile broadband or URL,0
1.22803418776618E+018,hi shuja could you please elaborate more on your concern,1
1.22785041541443E+018,hi roy kindly note that the connection speed depends on certain aspects however appreciate if URL,1
1.22780329687173E+018,hey could you dm us the relevant connection number in order to check on this,1
1.22759507098933E+018,thank you for sharing the details note that we have replied you via dm,0
1.22758982707331E+018,do dm us your connection number as we will check on the same further and let us know on this,0
1.22752238668319E+018,not a malicious site however weve escalated the concern to the management as well,0
1.22752238568489E+018,hi fawzan kindly note that the mydialog app has been installed by the agent in order to explain the URL,1
1.22747289174007E+018,an agent of ours will get back to you asap with regards to this highly appreciate your patience on the same,1
1.22747243702719E+018,please note that we do not have a feature as such but we dont restrict in receiving smss from other URL,-1
1.22745331125687E+018,hi malcolm we are really sorry for the inconvenience caused apologies for the delay please be URL,-1
1.2272846731828E+018,hi what is the issue you are facing please,0
1.2272653619276E+018,you are most welcome EMO_POS we value your feedback please take a few minutes to rate our service on URL,1
1.22719141503531E+018,thanks for the update you are most welcome EMO_POS,1
1.2271874697765E+018,USER_MENTION hi kindly share your connection details via dm in order to check and assist you on the same,1
1.22718697678647E+018,appreciated,1
1.22718697583429E+018,hi malcolm we are really sorry for the inconvenience caused apologies for the delay please be URL,-1
1.22718546908098E+018,hi you can use the below sms method and send to,0
1.22717121499462E+018,hi sadiq appreciate if you could kindly let us know if you are still experiencing connectivity,1
1.22711612175043E+018,appreciate if you could share the requested details via twitter dm,0
1.22711038008378E+018,hi amal data pack active time data usage chargers mention URL,-1
1.22709995016263E+018,we kindly request you to dm the connection number and the device details in order to check and assist you on the same,1
1.22708378929533E+018,hi abdul coverage connection details URL,0
1.22690179916207E+018,hope your concern is solved EMO_POS,0
1.22689964033276E+018,hi appreciate if you could contact our roaming team via roamUSER_MENTION in order to get the assistance on the same,0
1.2268972150226E+018,this will be sorted asap,0
1.22688783368157E+018,complain,0
1.22688078110204E+018,hi namila connection number reachable contact number URL,0
1.2267876274765E+018,the issue has been sorted out and an sms notification was sent to you appreciate if you URL,0
