id,prediction
0,1
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,0
612,0
613,0
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,1
640,1
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,0
699,1
700,0
701,0
702,0
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,0
797,1
798,1
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,1
